Vendor Name,IMPA,Vendor Product Name,Vendor Product Code,CATEGORY,Vendor Price
RUBAFLEX B.V.,330703,Firehose 63mm L = 15 mtr White standard canvas jacket,brs063w15,,25.55
RUBAFLEX B.V.,330704,Firehose 38mm L = 20 mtr White standard canvas jacket,brs038w20,,22.5
RUBAFLEX B.V.,330705,Firehose 50mm L = 20 mtr White standard canvas jacket,brs050w20,,23
RUBAFLEX B.V.,330706,Firehose 63mm L = 20 mtr White standard canvas jacket,brs063w20,,32.5
RUBAFLEX B.V.,330708,Firehose 50mm L = 25 mtr White standard canvas jacket,brs050w25,,26.45
RUBAFLEX B.V.,330710,Firehose 38mm L = 30 mtr White standard canvas jacket,brs038w30,,32.5
RUBAFLEX B.V.,330711,Firehose 50mm L = 30 mtr White standard canvas jacket,brs050w30,,33.95
RUBAFLEX B.V.,330712,Firehose 63mm L = 30 mtr White standard canvas jacket,brs063w30,,42.33
RUBAFLEX B.V.,330715,Firehose 38mm L = 15 mtr White canvas jacket MED/Solas/DNV,brs038w15d,,26.5
RUBAFLEX B.V.,330716,Firehose 38mm L = 20 mtr White canvas jacket MED/Solas/DNV,brs038w20d,,28.5
RUBAFLEX B.V.,330717,Firehose 50mm L = 15 mtr White canvas jacket MED/Solas/DNV,brs050w15d,,33.5
RUBAFLEX B.V.,330718,Firehose 50mm L = 20 mtr White canvas jacket MED/Solas/DNV,brs050w20d,,37.5
RUBAFLEX B.V.,330719,Firehose 63mm L = 15 mtr White standard canvas jacket,brs063w15,,25.55
RUBAFLEX B.V.,330720,Firehose 63mm L = 20 mtr White standard canvas jacket,brs063w20,,32.5
RUBAFLEX B.V.,330721,Firehose 45mm L = 15 mtr Red canvas jacket MED/Solas/DNV,brs045r15d,,35.5
RUBAFLEX B.V.,330722,Firehose 50mm L = 15 mtr Red canvas jacket MED/Solas/DNV,brs050r15d,,35.5
RUBAFLEX B.V.,330723,Firehose 63mm L = 15 mtr Red standard canvas jacket,brs063r15,,31.5
RUBAFLEX B.V.,330724,Firehose 45mm L = 20 mtr Red canvas jacket MED/Solas/DNV,brs045r20d,,40
RUBAFLEX B.V.,330725,Firehose 50mm L = 20 mtr Red canvas jacket MED/Solas/DNV,brs050r20d,,49.45
RUBAFLEX B.V.,330726,Firehose 63mm L = 20 mtr Red standard canvas jacket,brs063r20,,39.55
RUBAFLEX B.V.,330728,Firehose 50mm L = 25 mtr Red inner/outer rubber,brs050a25,,81.45
RUBAFLEX B.V.,330729,"Firehose 63mm L = 20 mtr BS6391 - LR, rubber in/outer",brs063a20,,85
RUBAFLEX B.V.,330731,"Firehose 38mm L = 20 mtr BS6391 - LR, rubber in/outer",brs038a20,,60
RUBAFLEX B.V.,330732,"Firehose 50mm L = 20 mtr BS6391 - LR, rubber in/outer",brs050a20,,72.55
RUBAFLEX B.V.,330733,"Firehose 63mm L = 20 mtr BS6391 - LR, rubber in/outer",brs063a20,,85
RUBAFLEX B.V.,330734,Firehose 45mm L = 15 mtr White standard canvas jacket,brs045w15,,18.5
RUBAFLEX B.V.,330735,Firehose 45mm L = 20 mtr White standard canvas jacket,brs045w20,,24.5
RUBAFLEX B.V.,330737,Firehose 50mm L = 15 mtr White canvas jacket MED/Solas/DNV,brs050w15d,,33.5
RUBAFLEX B.V.,330738,Firehose 50mm L = 20 mtr White canvas jacket MED/Solas/DNV,brs050w20d,,37.5
RUBAFLEX B.V.,330739,Firehose 50mm L = 25 mtr White standard canvas jacket,brs050w25,,26.45
RUBAFLEX B.V.,330740,Firehose 63mm L = 15 mtr White standard canvas jacket,brs063w15,,25.55
RUBAFLEX B.V.,330741,Firehose 63mm L = 20 mtr White standard canvas jacket,brs063w20,,32.5
RUBAFLEX B.V.,330751,Fire hose box FRP 590 x 470 x 170mm,bsk575721,,31.25
RUBAFLEX B.V.,330752,Fire hose Binding device set + coupling device,bdc,,185
RUBAFLEX B.V.,330753,"Fog spraynozzle brass 2"" M BSP - L=1350mm",bss2np,,169.43
